Município;ICD10 Chapter I;ICD10 Chapter II;ICD10 Chapter III;ICD10 Chapter IV;ICD10 Chapter V;ICD10 Chapter VI;ICD10 Chapter VII;ICD10 Chapter VIII;ICD10 Chapter IX;ICD10 Chapter X;ICD10 Chapter XI;ICD10 Chapter XII;ICD10 Chapter XIII;ICD10 Chapter XIV;ICD10 Chapter XV;ICD10 Chapter XVI;ICD10 Chapter XVII;ICD10 Chapter XVIII;ICD10 Chapter XX;Total;cod_municipio
110001 Alta Floresta D'Oeste;6.0;23.0;0.0;9.0;0.0;4.0;0.0;0.0;32.0;18.0;7.0;1.0;0.0;3.0;1.0;5.0;1.0;8.0;27.0;145.0;110001
110037 Alto Alegre dos Parecis;1.0;13.0;0.0;6.0;0.0;0.0;0.0;0.0;16.0;3.0;5.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;6.0;53.0;110037
110040 Alto Paraíso;3.0;10.0;0.0;2.0;1.0;1.0;0.0;0.0;8.0;5.0;2.0;0.0;0.0;2.0;0.0;1.0;3.0;20.0;20.0;78.0;110040
110034 Alvorada D'Oeste;3.0;12.0;1.0;12.0;2.0;0.0;0.0;0.0;21.0;11.0;2.0;0.0;0.0;2.0;1.0;1.0;1.0;3.0;12.0;84.0;110034
110002 Ariquemes;23.0;68.0;3.0;32.0;1.0;7.0;0.0;0.0;148.0;43.0;28.0;1.0;1.0;11.0;1.0;9.0;4.0;17.0;114.0;511.0;110002
110045 Buritis;6.0;21.0;1.0;6.0;1.0;1.0;0.0;0.0;31.0;8.0;2.0;0.0;0.0;4.0;0.0;5.0;3.0;3.0;47.0;139.0;110045
110003 Cabixi;0.0;3.0;1.0;3.0;0.0;0.0;0.0;0.0;7.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;8.0;28.0;110003
110060 Cacaulândia;2.0;2.0;0.0;3.0;0.0;2.0;0.0;0.0;6.0;5.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;3.0;28.0;110060
110004 Cacoal;13.0;71.0;4.0;45.0;4.0;17.0;0.0;0.0;127.0;46.0;12.0;1.0;3.0;17.0;0.0;11.0;6.0;1.0;62.0;440.0;110004
110070 Campo Novo de Rondônia;1.0;7.0;0.0;2.0;0.0;0.0;0.0;0.0;9.0;8.0;3.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;9.0;43.0;110070
110080 Candeias do Jamari;3.0;13.0;1.0;4.0;1.0;2.0;0.0;0.0;14.0;8.0;6.0;0.0;2.0;3.0;0.0;5.0;0.0;12.0;37.0;111.0;110080
110090 Castanheiras;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;3.0;17.0;110090
110005 Cerejeiras;0.0;12.0;0.0;5.0;1.0;1.0;0.0;0.0;27.0;5.0;4.0;1.0;0.0;2.0;0.0;0.0;1.0;9.0;12.0;80.0;110005
110092 Chupinguaia;2.0;3.0;0.0;1.0;0.0;1.0;0.0;0.0;12.0;4.0;1.0;1.0;0.0;1.0;0.0;5.0;0.0;1.0;10.0;42.0;110092
110006 Colorado do Oeste;2.0;15.0;1.0;2.0;0.0;2.0;0.0;0.0;26.0;10.0;5.0;0.0;0.0;3.0;0.0;0.0;1.0;7.0;14.0;88.0;110006
