 Mortalidade - Brasil
Óbitos p/Residênc por Município e Capítulo CID-10
Período:2011
"Município";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"110001 Alta Floresta D'Oeste";-;18;-;2;-;-;-;-;27;6;7;-;-;2;-;3;2;13;4;84
"110037 Alto Alegre dos Parecis";-;1;-;2;-;1;-;-;11;4;-;-;-;1;-;3;3;7;12;45
"110040 Alto Paraíso";3;5;-;1;1;1;-;-;8;1;2;-;-;-;1;1;-;12;26;62
"110034 Alvorada D'Oeste";4;3;-;6;1;1;-;-;16;4;3;-;-;2;-;-;-;4;8;52
"110002 Ariquemes";15;58;-;23;3;5;-;-;113;29;11;1;1;7;1;11;3;11;114;406
"110045 Buritis";6;15;-;3;1;3;-;-;27;4;2;-;-;2;-;4;3;11;32;113
"110003 Cabixi";1;2;-;1;-;-;-;-;15;2;1;-;-;1;-;1;1;2;2;29
"110060 Cacaulândia";-;4;1;1;-;-;-;-;2;2;1;-;-;-;-;-;-;3;8;22
"110004 Cacoal";11;51;3;36;1;8;-;-;126;27;16;-;2;8;-;7;6;2;53;357
"110070 Campo Novo de Rondônia";2;2;1;2;-;2;-;-;7;2;-;-;-;1;-;1;1;2;13;36
"110080 Candeias do Jamari";7;8;-;3;-;-;-;-;18;11;5;-;-;2;-;7;2;6;35;104
"110090 Castanheiras";-;-;1;2;-;-;-;-;3;1;2;-;-;-;-;-;-;-;1;10
"110005 Cerejeiras";3;8;-;4;-;1;-;-;29;7;4;1;-;1;-;-;1;7;11;77
"110092 Chupinguaia";1;4;-;-;-;2;-;-;-;4;1;-;-;-;-;-;-;2;4;18
"110006 Colorado do Oeste";4;18;-;8;1;1;-;-;23;12;1;-;-;-;-;1;-;7;13;89
"110007 Corumbiara";1;7;1;2;-;-;-;-;4;2;-;-;-;-;-;1;-;-;10;28
"110008 Costa Marques";2;6;-;6;-;-;-;-;8;1;3;-;1;-;-;4;2;3;7;43
"110094 Cujubim";1;9;-;3;-;1;-;-;7;4;4;-;-;-;1;1;1;6;9;47
"110009 Espigão D'Oeste";3;16;1;7;1;3;-;-;28;6;6;-;-;4;-;5;3;38;19;140
"110100 Governador Jorge Teixeira";1;5;-;3;1;-;-;-;3;2;1;-;-;1;-;2;-;7;6;32
"110010 Guajará-Mirim";5;25;2;22;1;6;-;-;48;13;14;-;-;4;-;6;4;4;26;180
"110110 Itapuã do Oeste";2;7;-;-;-;1;-;-;6;3;1;-;1;1;-;2;-;4;16;44
"110011 Jaru";5;34;2;21;1;2;-;-;49;16;7;1;-;4;1;1;5;31;56;236
"110012 Ji-Paraná";65;54;-;24;3;5;-;-;139;123;17;-;-;17;-;15;8;121;88;679
"110013 Machadinho D'Oeste";6;15;1;8;1;1;-;-;25;4;2;-;-;1;-;1;1;20;35;121
"110120 Ministro Andreazza";3;9;-;6;1;-;-;-;12;4;3;-;-;2;-;2;1;2;2;47
"110130 Mirante da Serra";1;8;-;3;-;-;-;-;22;2;2;-;-;-;-;2;-;6;9;55
"110140 Monte Negro";1;5;1;1;-;1;-;-;19;4;5;-;-;1;-;-;1;6;25;70
"110014 Nova Brasilândia D'Oeste";-;4;2;7;1;-;-;-;29;3;1;-;-;7;-;1;3;5;9;72
"110033 Nova Mamoré";2;5;-;6;-;1;-;-;21;4;4;-;1;3;1;2;4;7;26;87
"110143 Nova União";-;2;-;-;-;1;-;-;7;2;-;-;-;-;-;1;-;2;3;18
"110050 Novo Horizonte do Oeste";-;8;-;3;-;-;-;-;10;2;3;-;-;1;-;-;-;5;3;35
"110015 Ouro Preto do Oeste";3;29;-;13;1;10;-;-;63;25;8;-;2;6;-;8;1;10;22;201
"110145 Parecis";-;-;-;1;-;-;-;-;6;3;-;-;-;-;-;-;-;2;2;14
"110018 Pimenta Bueno";6;18;1;16;2;3;-;-;27;11;9;-;-;4;-;7;2;17;27;150
"110146 Pimenteiras do Oeste";1;-;-;-;-;-;-;-;3;1;-;-;-;-;-;1;1;1;-;8
"110020 Porto Velho";133;309;11;134;11;29;-;1;459;192;93;4;9;56;10;51;42;113;472;2129
"110025 Presidente Médici";4;14;1;9;-;1;-;-;30;7;3;-;-;-;-;5;1;12;15;102
"110147 Primavera de Rondônia";-;1;-;-;-;-;-;-;2;3;1;-;-;-;-;-;-;6;-;13
"110026 Rio Crespo";-;6;-;-;-;-;-;-;3;-;2;-;-;-;-;-;-;3;2;16
"110028 Rolim de Moura";5;25;-;15;-;3;-;-;93;14;16;-;1;5;-;3;2;17;27;226
"110029 Santa Luzia D'Oeste";3;11;-;4;-;-;-;-;11;5;1;-;-;1;-;-;1;2;6;45
"110148 São Felipe D'Oeste";-;1;-;2;-;-;-;-;1;1;1;-;-;1;-;-;-;-;5;12
"110149 São Francisco do Guaporé";2;3;1;2;-;2;-;-;6;6;3;1;-;-;-;-;-;4;15;45
"110032 São Miguel do Guaporé";1;8;3;5;1;2;-;-;18;6;7;-;-;2;-;2;-;5;13;73
"110150 Seringueiras";-;8;-;1;-;3;-;-;17;1;3;-;-;1;-;4;2;4;11;55
"110155 Teixeirópolis";-;-;-;1;1;-;-;-;3;4;-;-;-;-;-;-;-;1;3;13
"110160 Theobroma";-;6;1;-;-;-;-;-;6;2;1;-;-;-;-;1;1;3;3;24
"110170 Urupá";2;6;-;2;-;-;-;-;6;6;1;-;-;3;-;4;-;3;4;37
"110175 Vale do Anari";-;4;1;1;-;-;-;-;7;1;-;-;-;-;-;1;-;-;18;33
"110180 Vale do Paraíso";1;5;-;5;1;-;-;-;7;4;-;-;-;2;-;1;-;1;5;32
"110030 Vilhena";15;53;1;26;4;1;-;-;74;43;18;1;1;7;-;15;4;15;50;328
"110000 Município ignorado - RO";-;1;-;2;-;-;-;-;1;2;-;-;-;1;-;-;-;1;12;20
"120001 Acrelândia";4;5;1;1;1;-;-;-;6;6;5;-;-;3;-;1;1;10;6;50
"120005 Assis Brasil";3;3;1;3;-;-;-;-;2;1;1;-;-;1;-;1;-;5;2;23
"120010 Brasiléia";1;14;-;7;-;3;-;-;20;12;4;-;1;3;-;3;-;17;15;100
